Region,Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP ($B),Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14 %,Population 15-64 %,Population 65+ %,Population (M),Population Urban %,Tourism Inbound ($M),Tourism Outbound ($M)
The Americas,Canada,0.011,0.277,499137,5,250992,1614.07,0.114,5273,131,0.005,0.8,0.026,83,79,0.8,0.165,0.694,0.142,34.005,0.809,18438,36975
The Americas,Cayman Islands,0.015,,590,,,,,,,,0.7,,,,1.8,,,,0.056,1,465,129
The Americas,Chile,0.014,0.245,72258,22,30920,217.50,0.071,894,316,0.008,0.5,0.048,82,76,1.2,0.221,0.687,0.092,17.151,0.886,2422,1808
The Americas,Colombia,0.02,0.803,75680,14,32235,287.02,0.068,418,208,0.016,0.4,0.094,77,70,1,0.288,0.656,0.056,46.445,0.75,2727,2373
The Americas,Costa Rica,0.016,0.553,7770,60,4646,36.30,0.097,750,272,0.009,0.4,0.171,82,77,0.7,0.249,0.686,0.065,4.670,0.717,2179,533
The Americas,Cuba,0.01,,38364,,11308,64.33,0.106,583,,0.005,0.2,,81,77,0.1,0.173,0.702,0.124,11.282,0.766,2218,
The Americas,Curacao,0.014,,,,,,,,,,,,,,1.4,0.198,0.67,0.132,0.149,0.899,438,282
The Americas,Dominica,0.013,0.370,136,13,,0.48,0.06,400,117,0.011,0.5,0.095,,,1.5,,,,0.071,0.681,95,13
The Americas,Dominican Republic,0.022,0.401,20964,19,7178,50.98,0.055,278,324,0.026,0.3,0.121,76,70,0.9,0.312,0.628,0.06,10.017,0.738,4209,554
The Americas,Ecuador,0.022,0.353,32636,56,12428,67.51,0.072,335,654,0.021,0.3,,79,73,1,0.31,0.629,0.062,15.001,0.627,786,863
The Americas,El Salvador,0.02,0.348,6249,17,4210,21.42,0.069,238,320,0.015,0.2,,76,67,1.2,0.321,0.61,0.069,6.218,0.643,646,280
The Americas,Greenland,0.015,,634,,,,,,,,0.6,,73,69,1,,,,0.057,0.844,,
The Americas,Grenada,0.019,0.453,260,15,,0.77,0.06,438,140,0.012,0.3,0.106,75,70,1.2,0.275,0.652,0.072,0.105,0.357,112,10
The Americas,Guatemala,0.032,0.409,11118,37,10251,41.34,0.069,198,344,0.028,0.1,0.133,75,68,1.3,0.415,0.541,0.044,14.342,0.493,1379,1002
The Americas,Guyana,0.022,0.388,1701,24,,2.26,0.066,188,288,0.032,0.3,0.145,68,63,0.7,0.376,0.592,0.033,0.786,0.282,80,73
The Americas,Haiti,0.027,0.404,2120,105,2409,6.62,0.067,45,184,0.073,0.1,0.175,64,60,0.4,0.362,0.594,0.045,9.896,0.52,169,431
The Americas,Honduras,0.027,0.441,8108,14,4567,15.84,0.087,176,224,0.021,0.1,0.189,75,70,1.2,0.368,0.589,0.043,7.621,0.517,627,406
The Americas,Jamaica,0.015,0.487,7158,8,2830,13.23,0.053,255,414,0.016,0.3,0.205,76,70,1.2,0.29,0.631,0.078,2.691,0.537,2095,235
The Americas,Mexico,0.02,0.505,443674,7,178924,1051.63,0.063,603,404,0.014,0.3,0.053,79,74,0.8,0.3,0.64,0.06,117.886,0.778,12628,9001
The Americas,Nicaragua,0.024,0.632,4547,39,2951,8.94,0.076,112,222,0.022,0.1,0.133,77,71,0.7,0.345,0.609,0.046,5.822,0.573,309,329
The Americas,Panama,0.02,0.438,9633,9,3710,28.81,0.085,627,482,0.017,0.4,0.077,80,74,1.8,0.293,0.639,0.068,3.678,0.651,2552,575
The Americas,Paraguay,0.024,0.350,5075,35,4789,20.03,0.087,271,311,0.021,0.2,0.26,74,70,0.9,0.335,0.613,0.052,6.460,0.585,243,269
The Americas,Peru,0.021,0.371,57579,26,19207,148.51,0.049,257,380,0.015,0.3,0.19,77,71,1,0.3,0.64,0.06,29.263,0.769,2475,1640
The Americas,Puerto Rico,0.011,0.636,,7,,98.38,,,218,,0.5,,82,74,0.8,0.205,0.665,0.13,3.721,0.938,3211,1180
The Americas,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,0.038,1,681,105
The Americas,St. Kitts and Nevis,,0.525,249,19,,0.69,0.054,739,155,0.009,0.8,0.086,,,1.5,,,,0.052,0.318,90,13
The Americas,St. Lucia,0.016,0.340,403,14,,1.25,0.078,525,92,0.014,0.4,0.106,77,72,1.1,0.253,0.663,0.085,0.177,0.185,309,48
The Americas,St. Martin (French part),0.017,,,,,,,,,,,,82,76,,,,,0.030,,,
The Americas,St. Vincent and the Grenadines,0.017,0.387,209,10,,0.68,0.047,293,111,0.019,0.4,0.092,74,70,1.2,0.265,0.668,0.067,0.109,0.488,86,15
The Americas,Suriname,0.018,0.279,2384,694,,4.37,0.058,483,199,0.022,0.3,0.116,74,67,1,0.286,0.649,0.064,0.525,0.663,69,41
The Americas,Trinidad and Tobago,0.015,0.331,50682,41,21370,20.76,0.052,805,210,0.021,0.5,0.093,73,66,1.4,0.207,0.71,0.083,1.328,0.091,630,97
The Americas,Turks and Caicos Islands,,,161,,,,,,,,,,,,,,,,0.031,0.902,,
The Americas,United States,0.013,0.465,5433057,5,2215504,14958.30,0.177,8254,187,0.006,0.7,0.033,81,76,0.9,0.198,0.671,0.131,309.326,0.808,164606,110313
The Americas,Uruguay,0.015,0.419,6645,65,4174,38.88,0.087,998,336,0.011,0.5,0.103,80,73,1.3,0.225,0.636,0.139,3.372,0.944,1669,549
The Americas,"Venezuela, RB",0.021,0.519,201747,141,75502,393.80,0.047,639,864,0.014,0.4,0.183,77,71,1,0.295,0.649,0.056,29.043,0.888,794,2238
The Americas,Virgin Islands (U.S.),0.011,,,,,,,,,,0.3,,82,76,,0.207,0.656,0.137,0.106,0.946,1013,
