Survived,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass
No,Mr. Alfred Fleming Cunningham,male,22,0,0,0,Second
Yes,Mr. Johan Julian Sundman,male,44,0,0,7.925,Third
No,Mrs. Thomas (Annie Louise Rowley) Meek,female,32,0,0,8.05,Third
Yes,Mrs. James Vivian (Lulu Thorne Christian) Drew,female,34,1,1,32.5,Second
Yes,Miss. Lyyli Karoliina Silven,female,18,0,2,13,Second
No,Mr. William John Matthews,male,30,0,0,13,Second
No,Miss. Catharina Van Impe,female,10,0,2,24.15,Third
No,Mr. David Charters,male,21,0,0,7.7333,Third
No,Mr. Leo Zimmerman,male,29,0,0,7.875,Third
No,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,female,28,1,1,14.4,Third
No,Mr. Viktor Richard Rosblom,male,18,1,1,20.2125,Third
No,Mr. Phillippe Wiseman,male,54,0,0,7.25,Third
Yes,Mrs. Charles V (Ada Maria Winfield) Clarke,female,28,1,0,26,Second
Yes,Miss. Kate Florence Phillips,female,19,0,0,26,Second
No,Mr. James Flynn,male,28,0,0,7.75,Third
Yes,Mr. Berk (Berk Trembisky) Pickard,male,32,0,0,8.05,Third
Yes,Mr. Mauritz Hakan Bjornstrom-Steffansson,male,28,0,0,26.55,First
Yes,Mrs. Percival (Florence Kate White) Thorneycroft,female,33,1,0,16.1,Third
Yes,Mrs. Charles Alexander (Alice Adelaide Slow) Louch,female,42,1,0,26,Second
No,Mr. Nikolai Erland Kallio,male,17,0,0,7.125,Third
No,Mr. William Baird Silvey,male,50,1,0,55.9,First
Yes,Miss. Lucile Polk Carter,female,14,1,2,120,First
No,Miss. Doolina Margaret Ford,female,21,2,2,34.375,Third
Yes,Mrs. Sidney (Emily Hocking) Richards,female,24,2,3,18.75,Second
No,Mr. Mark Fortune,male,64,1,4,263,First
No,Mr. Johan Henrik Johannesson Kvillner,male,31,0,0,10.5,Second
Yes,Mrs. Benjamin (Esther Ada Bloomfield) Hart,female,45,1,1,26.25,Second
No,Mr. Leon Hampe,male,20,0,0,9.5,Third
No,Mr. Johan Emil Petterson,male,25,1,0,7.775,Third
Yes,Ms. Encarnacion Reynaldo,female,28,0,0,13,Second
Yes,Mr. Bernt Johannesen-Bratthammer,male,29,0,0,8.1125,Third
Yes,Master. Washington Dodge,male,4,0,2,81.8583,First
Yes,Miss. Madeleine Violet Mellinger,female,13,0,1,19.5,Second
Yes,Mr. Frederic Kimber Seward,male,34,0,0,26.55,First
Yes,Miss. Marie Catherine Baclini,female,5,2,1,19.2583,Third
Yes,Major. Arthur Godfrey Peuchen,male,52,0,0,30.5,First
No,Mr. Edwy Arthur West,male,36,1,2,27.75,Second
No,Mr. Ingvald Olai Olsen Hagland,male,28,1,0,19.9667,Third
No,Mr. Benjamin Laventall Foreman,male,30,0,0,27.75,First
Yes,Mr. Samuel L Goldenberg,male,49,1,0,89.1042,First
No,Mr. Joseph Peduzzi,male,24,0,0,8.05,Third
Yes,Mr. Ivan Jalsevac,male,29,0,0,7.8958,Third
No,Mr. Francis Davis Millet,male,65,0,0,26.55,First
Yes,Mrs. Frederick R (Marion) Kenyon,female,41,1,0,51.8625,First
Yes,Miss. Ellen Toomey,female,50,0,0,10.5,Second
No,Mr. Maurice O'Connor,male,17,0,0,7.75,Third
Yes,Mr. Harry Anderson,male,48,0,0,26.55,First
No,Mr. William Morley,male,34,0,0,8.05,Third
No,Mr. Arthur H Gee,male,47,0,0,38.5,First
No,Mr. Jacob Christian Milling,male,48,0,0,13,Second
No,Mr. Simon Maisner,male,34,0,0,8.05,Third
No,Mr. Manuel Estanslas Goncalves,male,38,0,0,7.05,Third
No,Mr. William Campbell,male,21,0,0,0,Second
No,Mr. John Montgomery Smart,male,56,0,0,26.55,First
No,Mr. James Scanlan,male,22,0,0,7.725,Third
Yes,Miss. Helene Barbara Baclini,female,0.75,2,1,19.2583,Third
No,Mr. Arthur Keefe,male,39,0,0,7.25,Third
No,Mr. Luka Cacic,male,38,0,0,8.6625,Third
Yes,Mrs. Edwy Arthur (Ada Mary Worth) West,female,33,1,2,27.75,Second
Yes,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23,0,0,13.7917,Second
No,Miss. Ida Sofia Strandberg,female,22,0,0,9.8375,Third
No,Mr. George Quincy Clifford,male,40,0,0,52,First
No,Mr. Peter Henry Renouf,male,34,1,0,21,Second
No,Mr. Lewis Richard Braund,male,29,1,0,7.0458,Third
No,Mr. Nils August Karlsson,male,22,0,0,7.5208,Third
Yes,Miss. Hildur E Hirvonen,female,2,0,1,12.2875,Third
No,Master. Harold Victor Goodwin,male,9,5,2,46.9,Third
No,Mr. Anthony Wood Frost,male,37,0,0,0,Second
No,Mr. Richard Henry Rouse,male,50,0,0,8.05,Third
Yes,Mrs. (Hedwig) Turkula,female,63,0,0,9.5875,Third
Yes,Mr. Dickinson H Bishop,male,25,1,0,91.0792,First
No,Miss. Jeannie Lefebre,female,8,3,1,25.4667,Third
Yes,Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,female,35,1,0,90,First
No,Mr. Edward Austin Kent,male,58,0,0,29.7,First
No,Mr. Francis William Somerton,male,30,0,0,8.05,Third
Yes,Master. Eden Leslie Coutts,male,9,1,1,15.9,Third
No,Mr. Konrad Mathias Reiersen Hagland,male,19,1,0,19.9667,Third
No,Mr. Einar Windelov,male,21,0,0,7.25,Third
No,Mr. Harry Markland Molson,male,55,0,0,30.5,First
No,Mr. Ramon Artagaveytia,male,71,0,0,49.5042,First
No,Mr. Edward Roland Stanley,male,21,0,0,8.05,Third
No,Mr. Gerious Yousseff,male,26,0,0,14.4583,Third
Yes,Miss. Elizabeth Mussey Eustis,female,54,1,0,78.2667,First
No,Mr. Frederick William Shellard,male,55,0,0,15.1,Third
No,Mrs. Hudson J C (Bessie Waldo Daniels) Allison,female,25,1,2,151.55,First
No,Mr. Olof Svensson,male,24,0,0,7.7958,Third
No,Mr. Petar Calic,male,17,0,0,8.6625,Third
No,Miss. Mary Canavan,female,21,0,0,7.75,Third
No,Miss. Bridget Mary O'Sullivan,female,21,0,0,7.6292,Third
No,Miss. Kristina Sofia Laitinen,female,37,0,0,9.5875,Third
Yes,Miss. Roberta Maioni,female,16,0,0,86.5,First
No,Mr. Victor de Satode Penasco y Castellana,male,18,1,0,108.9,First
Yes,Mrs. Frederick Charles (Jane Richards) Quick,female,33,0,2,26,Second
Yes,Mr. George Bradley,male,37,0,0,26.55,First
No,Mr. Henry Margido Olsen,male,28,0,0,22.525,Third
Yes,Mr. Fang Lang,male,26,0,0,56.4958,Third
Yes,Mr. Eugene Patrick Daly,male,29,0,0,7.75,Third
No,Mr. James Webber,male,66,0,0,8.05,Third
Yes,Mr. James Robert McGough,male,36,0,0,26.2875,First
Yes,Mrs. Martin (Elizabeth L. Barrett) Rothschild,female,54,1,0,59.4,First
No,Mr. Satio Coleff,male,24,0,0,7.4958,Third
No,Mr. William Anderson Walker,male,47,0,0,34.0208,First
Yes,Mrs. (Amelia Milley) Lemore,female,34,0,0,10.5,Second
No,Mr. Patrick Ryan,male,30,0,0,24.15,Third
Yes,Mrs. William A (Florence Agnes Hughes) Angle,female,36,1,0,26,Second
No,Mr. Stefo Pavlovic,male,32,0,0,7.8958,Third
Yes,Miss. Anne Perreault,female,30,0,0,93.5,First
No,Mr. Janko Vovk,male,22,0,0,7.8958,Third
No,Mr. Sarkis Lahoud,male,35,0,0,7.225,Third
Yes,Mrs. Louis Albert (Ida Sophia Fischer) Hippach,female,44,0,1,57.9792,First
No,Mr. Fared Kassem,male,18,0,0,7.2292,Third
No,Mr. James Farrell,male,40.5,0,0,7.75,Third
Yes,Miss. Lucy Ridsdale,female,50,0,0,10.5,Second
No,Mr. John Farthing,male,49,0,0,221.7792,First
No,Mr. Johan Werner Salonen,male,39,0,0,7.925,Third
No,Mr. Richard George Hocking,male,23,2,1,11.5,Second
Yes,Miss. Phyllis May Quick,female,2,1,1,26,Second
No,Mr. Nakli Toufik,male,17,0,0,7.2292,Third
No,Mr. Joseph Jr Elias,male,17,1,1,7.2292,Third
Yes,Mrs. Catherine (Catherine Rizk) Peter,female,24,0,2,22.3583,Third
No,Miss. Marija Cacic,female,30,0,0,8.6625,Third
Yes,Miss. Eva Miriam Hart,female,7,0,2,26.25,Second
No,Major. Archibald Willingham Butt,male,45,0,0,26.55,First
Yes,Miss. Bertha LeRoy,female,30,0,0,106.425,First
No,Mr. Samuel Beard Risien,male,69,0,0,14.5,Third
Yes,Miss. Hedwig Margaritha Frolicher,female,22,0,2,49.5,First
Yes,Miss. Harriet R Crosby,female,36,0,2,71,First
No,Miss. Ingeborg Constanzia Andersson,female,9,4,2,31.275,Third
No,Miss. Sigrid Elisabeth Andersson,female,11,4,2,31.275,Third
Yes,Mr. Edward Beane,male,32,1,0,26,Second
No,Mr. Walter Donald Douglas,male,50,1,0,106.425,First
No,Mr. Arthur Ernest Nicholson,male,64,0,0,26,First
Yes,Mrs. Edward (Ethel Clarke) Beane,female,19,1,0,26,Second
Yes,Mr. Julian Padro y Manent,male,27,0,0,13.8625,Second
No,Mr. Frank John Goldsmith,male,33,1,1,20.525,Third
Yes,Master. John Morgan Jr Davies,male,8,1,1,36.75,Second
Yes,Mr. John Borland Jr Thayer,male,17,0,2,110.8833,First
No,Mr. Percival James R Sharp,male,27,0,0,26,Second
No,Mr. Timothy O'Brien,male,21,0,0,7.8292,Third
Yes,Mr. Fahim Leeni,male,22,0,0,7.225,Third
Yes,Miss. Velin Ohman,female,22,0,0,7.775,Third
No,Mr. George Wright,male,62,0,0,26.55,First
Yes,Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48,1,0,39.6,First
No,Mr. Victor Robbins,male,45,0,0,227.525,First
Yes,Mrs. Emil (Tillie Mandelbaum) Taussig,female,39,1,1,79.65,First
Yes,Mrs. Guillaume Joseph (Emma) de Messemaeker,female,36,1,0,17.4,Third
No,Mr. Thomas Rowan Morrow,male,30,0,0,7.75,Third
No,Mr. Husein Sivic,male,40,0,0,7.8958,Third
No,Mr. Robert Douglas Norman,male,28,0,0,13.5,Second
No,Mr. John Simmons,male,40,0,0,8.05,Third
No,Miss. (Marion Ogden) Meanwell,female,62,0,0,8.05,Third
No,Mr. Alfred J Davies,male,24,2,0,24.15,Third
No,Mr. Ilia Stoytcheff,male,19,0,0,7.8958,Third
No,Mrs. Nils (Alma Cornelia Berglund) Palsson,female,29,0,4,21.075,Third
No,Mr. Tannous Doharr,male,28,0,0,7.2292,Third
Yes,Mr. Carl Jonsson,male,32,0,0,7.8542,Third
Yes,Mr. George Harris,male,62,0,0,10.5,Second
Yes,Mrs. Edward Dale (Charlotte Lamson) Appleton,female,53,2,0,51.4792,First
Yes,Mr. John Irwin Flynn,male,36,0,0,26.3875,First
Yes,Miss. Mary Kelly,female,22,0,0,7.75,Third
No,Mr. Alfred George John Rush,male,16,0,0,8.05,Third
No,Mr. George Patchett,male,19,0,0,14.5,Third
Yes,Miss. Ethel Garside,female,34,0,0,13,Second
Yes,Mrs. William Baird (Alice Munger) Silvey,female,39,1,0,55.9,First
No,Mrs. Joseph (Maria Elias) Caram,female,18,1,0,14.4583,Third
Yes,Mr. Eiriik Jussila,male,32,0,0,7.925,Third
Yes,Miss. Julie Rachel Christy,female,25,1,1,30,Second
Yes,Mrs. John Borland (Marian Longstreth Morris) Thayer,female,39,1,1,110.8833,First
No,Mr. William James Downton,male,54,0,0,26,Second
No,Mr. John Hugo Ross,male,36,0,0,40.125,First
No,Mr. Uscher Paulner,male,16,0,0,8.7125,Third
Yes,Miss. Ruth Taussig,female,18,0,2,79.65,First
No,Mr. John Denzil Jarvis,male,47,0,0,15,Second
Yes,Mr. Maxmillian Frolicher-Stehli,male,60,1,1,79.2,First
No,Mr. Eliezer Gilinski,male,22,0,0,8.05,Third
No,Mr. Joseph Murdlin,male,22,0,0,8.05,Third
No,Mr. Matti Rintamaki,male,35,0,0,7.125,Third
Yes,Mrs. Walter Bertram (Martha Eustis) Stephenson,female,52,1,0,78.2667,First
No,Mr. William James Elsbury,male,47,0,0,7.25,Third
No,Miss. Mary Bourke,female,40,0,2,7.75,Third
No,Mr. John Henry Chapman,male,37,1,0,26,Second
No,Mr. Jean Baptiste Van Impe,male,36,1,1,24.15,Third
Yes,Miss. Jessie Wills Leitch,female,31,0,0,33,Second
No,Mr. Alfred Johnson,male,49,0,0,0,Third
No,Mr. Hanna Boulos,male,18,0,0,7.225,Third
Yes,Sir. Cosmo Edmund Duff Gordon,male,49,1,0,56.9292,First
Yes,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,female,24,2,1,27,Second
No,Mr. Petco Slabenoff,male,42,0,0,7.8958,Third
No,Mr. Charles H Harrington,male,37,0,0,42.4,First
No,Mr. Ernst William Torber,male,44,0,0,8.05,Third
Yes,Mr. Harry Homer,male,35,0,0,26.55,First
No,Mr. Edvard Bengtsson Lindell,male,36,1,0,15.55,Third
No,Mr. Milan Karaic,male,30,0,0,7.8958,Third
Yes,Mr. Robert Williams Daniel,male,27,0,0,30.5,First
Yes,Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,female,22,1,2,41.5792,Second
Yes,Miss. Elizabeth W Shutes,female,40,0,0,153.4625,First
No,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,female,39,1,5,31.275,Third
No,Mr. Jose Neto Jardin,male,21,0,0,7.05,Third
Yes,Miss. Margaret Jane Murphy,female,18,1,0,15.5,Third
No,Mr. John Horgan,male,22,0,0,7.75,Third
No,Mr. William Alfred Brocklebank,male,35,0,0,8.05,Third
Yes,Miss. Alice Herman,female,24,1,2,65,Second
No,Mr. Ernst Gilbert Danbom,male,34,1,1,14.4,Third
No,Mrs. William Arthur (Cordelia K Stanlick) Lobb,female,26,1,0,16.1,Third
Yes,Miss. Marion Louise Becker,female,4,2,1,39,Second
No,Mr. Lawrence Gavey,male,26,0,0,10.5,Second
No,Mr. Antoni Yasbeck,male,27,1,0,14.4542,Third
Yes,Mr. Edwin Nelson Jr Kimball,male,42,1,0,52.5542,First
Yes,Mr. Sahid Nakid,male,20,1,1,15.7417,Third
No,Mr. Henry Damsgaard Hansen,male,21,0,0,7.8542,Third
No,Mr. David John Bowen,male,21,0,0,16.1,Third
No,Mr. Frederick Sutton,male,61,0,0,32.3208,First
No,Rev. Charles Leonard Kirkland,male,57,0,0,12.35,Second
Yes,Miss. Gretchen Fiske Longley,female,21,0,0,77.9583,First
No,Mr. Guentcho Bostandyeff,male,26,0,0,7.8958,Third
No,Mr. Patrick D O'Connell,male,18,0,0,7.7333,Third
Yes,Mr. Algernon Henry Wilson Barkworth,male,80,0,0,30,First
No,Mr. Johan Svensson Lundahl,male,51,0,0,7.0542,Third
Yes,Dr. Max Stahelin-Maeglin,male,32,0,0,30.5,First
No,Mr. William Henry Marsh Parr,male,30,0,0,0,First
No,Miss. Mabel Skoog,female,9,3,2,27.9,Third
Yes,Miss. Mary Davis,female,28,0,0,13,Second
No,Mr. Antti Gustaf Leinonen,male,32,0,0,7.925,Third
No,Mr. Harvey Collyer,male,31,1,1,26.25,Second
No,Mrs. Juha (Maria Emilia Ojala) Panula,female,41,0,5,39.6875,Third
No,Mr. Percival Thorneycroft,male,37,1,0,16.1,Third
No,Mr. Hans Peder Jensen,male,20,0,0,7.8542,Third
Yes,Mlle. Emma Sagesser,female,24,0,0,69.3,First
No,Miss. Margit Elizabeth Skoog,female,2,3,2,27.9,Third
Yes,Mr. Choong Foo,male,32,0,0,56.4958,Third
Yes,Miss. Eugenie Baclini,female,0.75,2,1,19.2583,Third
Yes,Mr. Henry Sleeper Harper,male,48,1,0,76.7292,First
No,Mr. Liudevit Cor,male,19,0,0,7.8958,Third
Yes,Col. Oberst Alfons Simonius-Blumer,male,56,0,0,35.5,First
No,Mr. Edward Willey,male,21,0,0,7.55,Third
Yes,Miss. Amy Zillah Elsie Stanley,female,23,0,0,7.55,Third
No,Mr. Mito Mitkoff,male,23,0,0,7.8958,Third
Yes,Miss. Elsie Doling,female,18,0,1,23,Second
No,Mr. Johannes Halvorsen Kalvik,male,21,0,0,8.4333,Third
Yes,Miss. Hanora O'Leary,female,16,0,0,7.8292,Third
No,Miss. Hanora Hegarty,female,18,0,0,6.75,Third
No,Mr. Leonard Mark Hickman,male,24,2,0,73.5,Second
No,Mr. Alexander Radeff,male,27,0,0,7.8958,Third
No,Mrs. John (Catherine) Bourke,female,32,1,1,15.5,Third
No,Mr. George Floyd Eitemiller,male,23,0,0,13,Second
No,Mr. Arthur Webster Newell,male,58,0,2,113.275,First
Yes,Dr. Henry William Frauenthal,male,50,2,0,133.65,First
No,Mr. Mohamed Badt,male,40,0,0,7.225,Third
No,Mr. Edward Pomeroy Colley,male,47,0,0,25.5875,First
No,Mr. Peju Coleff,male,36,0,0,7.4958,Third
Yes,Mr. Eino William Lindqvist,male,20,1,0,7.925,Third
No,Mr. Lewis Hickman,male,32,2,0,73.5,Second
No,Mr. Reginald Fenton Butler,male,25,0,0,13,Second
No,Mr. Knud Paust Rommetvedt,male,49,0,0,7.775,Third
No,Mr. Jacob Cook,male,43,0,0,8.05,Third
Yes,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,female,48,1,0,52,First
Yes,Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,female,40,1,1,39,Second
No,Mr. Thornton Davidson,male,31,1,0,52,First
No,Mr. Henry Michael Mitchell,male,70,0,0,10.5,Second
Yes,Mr. Charles Wilhelms,male,31,0,0,13,Second
No,Mr. Ennis Hastings Watson,male,19,0,0,0,Second
No,Mr. Gustaf Hjalmar Edvardsson,male,18,0,0,7.775,Third
No,Mr. Frederick Charles Sawyer,male,24.5,0,0,8.05,Third
Yes,Miss. Anna Sofia Turja,female,18,0,0,9.8417,Third
No,Mrs. Frederick (Augusta Tyler) Goodwin,female,43,1,6,46.9,Third
Yes,Mr. Thomas Drake Martinez Cardeza,male,36,0,1,512.3292,First
No,Miss. Katie Peters,female,28,0,0,8.1375,Third
Yes,Mr. Hammad Hassab,male,27,0,0,76.7292,First
No,Mr. Thor Anderson Olsvigen,male,20,0,0,9.225,Third
No,Mr. Charles Edward Goodwin,male,14,5,2,46.9,Third
No,Mr. Thomas William Solomon Brown,male,60,1,1,39,Second
No,Mr. Joseph Philippe Lemercier Laroche,male,25,1,2,41.5792,Second
No,Mr. Jaako Arnold Panula,male,14,4,1,39.6875,Third
No,Mr. Branko Dakic,male,19,0,0,10.1708,Third
No,Mr. Eberhard Thelander Fischer,male,18,0,0,7.7958,Third
Yes,Miss. Georgette Alexandra Madill,female,15,0,1,211.3375,First
Yes,Mr. Albert Adrian Dick,male,31,1,0,57,First
Yes,Miss. Manca Karun,female,4,0,1,13.4167,Third
Yes,Mr. Ali Lam,male,37,0,0,56.4958,Third
No,Mr. Khalil Saad,male,25,0,0,7.225,Third
No,Col. John Weir,male,60,0,0,26.55,First
No,Mr. Charles Henry Chapman,male,52,0,0,13.5,Second
No,Mr. James Kelly,male,44,0,0,8.05,Third
Yes,Miss. Katherine Mullens,female,19,0,0,7.7333,Third
No,Mr. John Borland Thayer,male,49,1,1,110.8833,First
No,Mr. Adolf Mathias Nicolai Olsen Humblen,male,42,0,0,7.65,Third
Yes,Mrs. John Jacob (Madeleine Talmadge Force) Astor,female,18,1,0,227.525,First
Yes,Mr. Spencer Victor Silverthorne,male,35,0,0,26.2875,First
No,Miss. Saiide Barbara,female,18,0,1,14.4542,Third
No,Mr. Martin Gallagher,male,25,0,0,7.7417,Third
No,Mr. Henrik Juul Hansen,male,26,1,0,7.8542,Third
No,Mr. Henry Samuel Morley,male,39,0,0,26,Second
Yes,Mrs. Florence Kelly,female,45,0,0,13.5,Second
Yes,Mr. Edward Pennington Calderhead,male,42,0,0,26.2875,First
Yes,Miss. Alice Cleaver,female,22,0,0,151.55,First
Yes,Master. Halim Gonios Moubarek,male,4,1,1,15.2458,Third
Yes,Mlle. Berthe Antonine Mayne,female,24,0,0,49.5042,First
No,Mr. Herman Klaber,male,41,0,0,26.55,First
Yes,Mr. Elmer Zebley Taylor,male,48,1,0,52,First
No,Mr. August Viktor Larsson,male,29,0,0,9.4833,Third
No,Mr. Samuel Greenberg,male,52,0,0,13,Second
No,Mr. Peter Andreas Lauritz Andersen Soholt,male,19,0,0,7.65,Third
Yes,Miss. Caroline Louise Endres,female,38,0,0,227.525,First
Yes,Miss. Edwina Celia Troutt,female,27,0,0,10.5,Second
No,Mr. Malkolm Joackim Johnson,male,33,0,0,7.775,Third
Yes,Miss. Annie Jessie Harper,female,6,0,1,33,Second
No,Mr. Svend Lauritz Jensen,male,17,1,0,7.0542,Third
No,Mr. William Henry Gillespie,male,34,0,0,13,Second
No,Mr. Henry Price Hodges,male,50,0,0,13,Second
Yes,Mr. Norman Campbell Chambers,male,27,1,0,53.1,First
No,Mr. Luka Oreskovic,male,20,0,0,8.6625,Third
Yes,Mrs. Peter Henry (Lillian Jefferys) Renouf,female,30,3,0,21,Second
Yes,Miss. Margareth Mannion,female,28,0,0,7.7375,Third
No,Mr. Kurt Arnold Gottfrid Bryhl,male,25,1,0,26,Second
No,Miss. Pieta Sofia Ilmakangas,female,25,1,0,7.925,Third
Yes,Miss. Elisabeth Walton Allen,female,29,0,0,211.3375,First
No,Mr. Houssein G N Hassan,male,11,0,0,18.7875,Third
No,Mr. Robert J Knight,male,41,0,0,0,Second
No,Mr. William John Berriman,male,23,0,0,13,Second
No,Mr. Moses Aaron Troupiansky,male,23,0,0,13,Second
No,Mr. Leslie Williams,male,28.5,0,0,16.1,Third
No,Mrs. Edward (Margaret Ann Watson) Ford,female,48,1,3,34.375,Third
Yes,Mr. Gustave J Lesurer,male,35,0,0,512.3292,First
No,Mr. Kanio Ivanoff,male,20,0,0,7.8958,Third
No,Mr. Minko Nankoff,male,32,0,0,7.8958,Third
Yes,Mr. Walter James Hawksford,male,45,0,0,30,First
No,Mr. Tyrell William Cavendish,male,36,1,0,78.85,First
Yes,Miss. Susan Parker Ryerson,female,21,2,2,262.375,First
No,Mr. Neal McNamee,male,24,1,0,16.1,Third
Yes,Mr. Juho Stranden,male,31,0,0,7.925,Third
No,Capt. Edward Gifford Crosby,male,70,1,1,71,First
No,Mr. Rossmore Edward Abbott,male,16,1,1,20.25,Third
Yes,Miss. Anna Sinkkonen,female,30,0,0,13,Second
No,Mr. Daniel Warner Marvin,male,19,1,0,53.1,First
No,Mr. Michael Connaghton,male,31,0,0,7.75,Third
Yes,Miss. Joan Wells,female,4,1,1,23,Second
Yes,Master. Meier Moor,male,6,0,1,12.475,Third
No,Mr. Johannes Joseph Vande Velde,male,33,0,0,9.5,Third
No,Mr. Lalio Jonkoff,male,23,0,0,7.8958,Third
Yes,Mrs. Samuel (Jane Laver) Herman,female,48,1,2,65,Second
Yes,Master. Viljo Hamalainen,male,0.67,1,1,14.5,Second
No,Mr. August Sigfrid Carlsson,male,28,0,0,7.7958,Third
No,Mr. Percy Andrew Bailey,male,18,0,0,11.5,Second
No,Mr. Thomas Leonard Theobald,male,34,0,0,8.05,Third
Yes,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,female,33,0,0,86.5,First
No,Mr. John Garfirth,male,23,0,0,14.5,Third
No,Mr. Iisakki Antino Aijo Nirva,male,41,0,0,7.125,Third
Yes,Mr. Hanna Assi Barah,male,20,0,0,7.2292,Third
Yes,Mrs. William Ernest (Lucile Polk) Carter,female,36,1,2,120,First
No,Mr. Hans Linus Eklund,male,16,0,0,7.775,Third
Yes,Mrs. John C (Anna Andrews) Hogeboom,female,51,1,0,77.9583,First
No,Dr. Arthur Jackson Brewe,male,46,0,0,39.6,First
No,Miss. Mary Mangan,female,30.5,0,0,7.75,Third
No,Mr. Daniel J Moran,male,28,1,0,24.15,Third
No,Mr. Daniel Danielsen Gronnestad,male,32,0,0,8.3625,Third
No,Mr. Rene Aime Lievens,male,24,0,0,9.5,Third
No,Mr. Niels Peder Jensen,male,48,0,0,7.8542,Third
No,Mrs. (Mary) Mack,female,57,0,0,10.5,Second
No,Mr. Dibo Elias,male,29,0,0,7.225,Third
Yes,Mrs. Elizabeth (Eliza Needs) Hocking,female,54,1,3,23,Second
No,Mr. Pehr Fabian Oliver Malkolm Myhrman,male,18,0,0,7.75,Third
No,Mr. Roger Tobin,male,20,0,0,7.75,Third
Yes,Miss. Virginia Ethel Emanuel,female,5,0,0,12.475,Third
No,Mr. Thomas J Kilgannon,male,22,0,0,7.7375,Third
Yes,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,female,43,0,1,211.3375,First
Yes,Miss. Banoura Ayoub,female,13,0,0,7.2292,Third
Yes,Mrs. Albert Adrian (Vera Gillespie) Dick,female,17,1,0,57,First
No,Mr. Milton Clyde Long,male,29,0,0,30,First
No,Mr. Andrew G Johnston,male,35,1,2,23.45,Third
No,Mr. William Ali,male,25,0,0,7.05,Third
No,Mr. Abraham (David Lishin) Harmer,male,25,0,0,7.25,Third
Yes,Miss. Anna Sofia Sjoblom,female,18,0,0,7.4958,Third
No,Master. George Hugh Rice,male,8,4,1,29.125,Third
Yes,Master. Bertram Vere Dean,male,1,1,2,20.575,Third
No,Mr. Benjamin Guggenheim,male,46,0,0,79.2,First
No,Mr. Andrew Keane,male,20,0,0,7.75,Third
No,Mr. Alfred Gaskell,male,16,0,0,26,Second
No,Miss. Stella Anna Sage,female,21,8,2,69.55,Third
No,Mr. William Fisher Hoyt,male,43,0,0,30.6958,First
No,Mr. Ristiu Dantcheff,male,25,0,0,7.8958,Third
No,Mr. Richard Otter,male,39,0,0,13,Second
Yes,Dr. Alice (Farnham) Leader,female,49,0,0,25.9292,First
Yes,Mrs. Mara Osman,female,31,0,0,8.6833,Third
No,Mr. Yousseff Ibrahim Shawah,male,30,0,0,7.2292,Third
No,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,female,30,1,1,24.15,Third
No,Mr. Martin Ponesell,male,34,0,0,13,Second
Yes,Mrs. Harvey (Charlotte Annie Tate) Collyer,female,31,1,1,26.25,Second
Yes,Master. William Thornton II Carter,male,11,1,2,120,First
Yes,Master. Assad Alexander Thomas,male,0.42,0,1,8.5167,Third
Yes,Mr. Oskar Arvid Hedman,male,27,0,0,6.975,Third
No,Mr. Karl Johan Johansson,male,31,0,0,7.775,Third
No,Mr. Thomas Jr Andrews,male,39,0,0,0,First
No,Miss. Ellen Natalia Pettersson,female,18,0,0,7.775,Third
No,Mr. August Meyer,male,39,0,0,13,Second
Yes,Mrs. Norman Campbell (Bertha Griggs) Chambers,female,33,1,0,53.1,First
No,Mr. William Alexander,male,26,0,0,7.8875,Third
No,Mr. James Lester,male,39,0,0,24.15,Third
No,Mr. Richard James Slemen,male,35,0,0,10.5,Second
No,Miss. Ebba Iris Alfrida Andersson,female,6,4,2,31.275,Third
No,Mr. Ernest Portage Tomlin,male,30.5,0,0,8.05,Third
No,Mr. Richard Fry,male,39,0,0,0,First
No,Miss. Wendla Maria Heininen,female,23,0,0,7.925,Third
No,Mr. Albert Mallet,male,31,1,1,37.0042,Second
No,Mr. John Fredrik Alexander Holm,male,43,0,0,6.45,Third
No,Master. Karl Thorsten Skoog,male,10,3,2,27.9,Third
Yes,Mrs. Charles Melville (Clara Jennings Gregg) Hays,female,52,1,1,93.5,First
Yes,Mr. Nikola Lulic,male,27,0,0,8.6625,Third
No,Jonkheer. John George Reuchlin,male,38,0,0,0,First
Yes,Mrs. (Beila) Moor,female,27,0,1,12.475,Third
No,Master. Urho Abraham Panula,male,2,4,1,39.6875,Third
No,Mr. John Flynn,male,36,0,0,6.95,Third
No,Mr. Len Lam,male,23,0,0,56.4958,Third
Yes,Master. Andre Mallet,male,1,0,2,37.0042,Second
